"vessel"
"BULK CARRIER"
"CONTAINER"
"GENERAL CARGO"
"CAR CARRIER"
"CRUDE TANKER"
"PRODUCT TANKER"
"CHEMICAL TANKER"
"OIL/BULK/ORE (OBO)"
"LPG"
"LNG"
"FPSO"
"DSV"
"LIVE STOCK"
"RORO"
"SURVEY VSL"
"PROD/CHEM"
"VLCC"
"REFEER VSL"
"TUG COASTAL"
"OSV"
"TUG FG"
"DP1"
"DP2"
"DP3"
"AHTS"
"PASSENGER"
"TRANS SHIPMENT VESSEL"
"BARGE"
"SUPPLY VESSEL"
"RESEARCH TYPE"
"MULTIPURPOSE"
"BUOY / LIGHTHOUSE"
"CREW BOAT"
"DREDGER"
"DRILL SHIP"
"CEMENT CARRIER"
"RIG"
"LANDING CRAFT TANK"
"LANDING CRAFT"
